,meanings english sense,kun readings,on readings,info clearfix,names,level,grade,kun names,on names
名,"name, noted, distinguished, reputation",Kun: な、 -な,On: メイ、 ミョウ,"6 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Nagoya', 'Kitanagoya', 'Nayoro', 'Ebina', 'Tamana', 'Kuwana', 'Nabari', 'Natori', 'Nago']",5,1,"['na', 'na']","['mei', 'mou']"
一,"one, one radical (no.1)",Kun: ひと-、 ひと.つ,On: イチ、 イツ,"1 stroke.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Ichinomiya', 'Ichinoseki']",5,1,"['hito', 'hitotu']","['ichi', 'itu']"
日,"day, sun, Japan, counter for days",Kun: ひ、 -び、 -か,On: ニチ、 ジツ,"4 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Kasugai', 'Nisshin', 'Kasuga', 'Hatsukaichi', 'Hitachi', 'Hioki', 'Mukō', 'Yokkaichi', 'Nichinan', 'Hyūga', 'Tōkamachi', 'Hita', 'Hidaka', 'Kasukabe', 'Nikkō', 'Hino']",5,1,"['hi', 'bi', 'ka']","['nichi', 'jitu']"
川,"stream, river, river or three-stroke river radical (no. 47)",Kun: かわ,On: セン,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Toyokawa', 'Goshogawara', 'Hirakawa', 'Ichikawa', 'Kamogawa', 'Tagawa', 'Yanagawa', 'Ōkawa', 'Nakagawa', 'Sukagawa', 'Nakatsugawa', 'Shibukawa', 'Asahikawa', 'Takikawa', 'Sunagawa', 'Fukagawa', 'Kakogawa', 'Kawanishi', 'Sakuragawa', 'Satsumasendai', 'Kawasaki', 'Kizugawa', 'Itoigawa', 'Neyagawa', 'Kawagoe', 'Kawaguchi', 'Okegawa', 'Yoshikawa', 'Kakegawa', 'Kikugawa', 'Yoshinogawa', 'Tachikawa', 'Arakawa', 'Edogawa', 'Shinagawa', 'Namerikawa', 'Kinokawa']",5,1,['kawa'],['sen']
山,mountain,Kun: やま,On: サン、 セン,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Inuyama', 'Tateyama', 'Nagareyama', 'Sanmu', 'Matsuyama', 'Katsuyama', 'Kōriyama', 'Takayama', 'Yamagata', 'Fukuyama', 'Tamba-Sasayama', 'Hakusan', 'Yamaga', 'Fukuchiyama', 'Kameyama', 'Iiyama', 'Yamatokōriyama', 'Okayama', 'Tsuyama', 'Ōsakasayama', 'Higashimatsuyama', 'Sayama', 'Moriyama', 'Oyama', 'Nasukarasuyama', 'Higashimurayama', 'Musashimurayama', 'Toyama', 'Wakayama', 'Kaminoyama', 'Murayama', ""San'yō-Onoda"", 'Yamaguchi', 'Yamanashi']",5,1,['yama'],"['san', 'sen']"
小,"little, small",Kun: ちい.さい、 こ-、 お-、 さ-,On: ショウ,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Komaki', 'Obama', 'Ogōri', 'Otaru', 'Tomakomai', 'Ono', 'Omitama', 'Komatsu', 'Odawara', 'Kobayashi', 'Komoro', 'Ojiya', 'Ogi', 'Oyama', 'Komatsushima', 'Koganei', 'Kodaira', 'Oyabe', ""San'yō-Onoda""]",5,1,"['chiisai', 'ko', 'o', 'sa']",['shou']
大,"large, big",Kun: おお-、 おお.きい、 -おお.いに,On: ダイ、 タイ,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Ōbu', 'Ōdate', 'Daisen', 'Ōamishirasato', 'Ōzu', 'Ōno', 'Ōmuta', 'Ōkawa', 'Ōnojō', 'Ōgaki', 'Ōta', 'Ōtake', 'Hitachiōmiya', 'Ōfunato', 'Yamato', 'Ōsaki', 'Ōmachi', 'Ōmura', 'Yamatotakada', 'Yamatokōriyama', 'Ōita', 'Bungo-Ōno', 'Osaka', 'Izumiōtsu', 'Daitō', 'Higashiōsaka', 'Ōsakasayama', 'Ōtsu', 'Ōda', 'Ōtawara', 'Higashiyamato', 'Ōtsuki']",5,1,"['oo', 'ookii', 'ooini']","['dai', 'tai']"
三,three,Kun: み、 み.つ、 みっ.つ,On: サン、 ゾウ,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Miyoshi', 'Misawa', 'Mihara', 'Mikasa', 'Miki', 'Sanda', 'Mitoyo', 'Miura', 'Sanjō', 'Misato', 'Mishima', 'Mitaka']",5,1,"['mi', 'mitsu', 'mutu']","['san', 'zou']"
上,"above, up",Kun: うえ、 -うえ、 うわ-、 かみ、 あ.げる、 -あ.げる、 あ.がる、 -あ.がる、 あ.がり、 -あ.がり、 のぼ.る、 のぼ.り、 のぼ.せる、 のぼ.す、 たてまつ.る,On: ジョウ、 ショウ、 シャン,"3 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.","['Katagami', 'Gujō', 'Kitakami', 'Kami-Amakusa', 'Ueda', 'Murakami', 'Jōetsu', 'Ageo', 'Kaminoyama', 'Uenohara']",5,1,"['ue', 'ue', 'uwa', 'kami', 'ageru', 'ageru', 'agaru', 'agaru', 'agari', 'agari', 'noboru', 'nobori', 'noboseru', 'nobosu', 'tatematsuru']","['jou', 'shou', 'shan']"
男,male,Kun: おとこ、 お,On: ダン、 ナン,"7 strokes.  JLPT N5.  Jōyō kanji, taught in grade 1.",['Oga'],5,1,"['otoko', 'o']","['dan', 'nan']"
